Code,Description
"19723","Omniflight Airways: OMI"
"19724","Southern Express Airways: SEP"
"19725","Turner Aire: TUR"
"19726","AAR Western Skyways: WSK"
"19727","Skybus Inc.: FW"
"19728","Caicos Caribbean Airways: CUQ"
"19729","Jet Express: BDE"
"19730","Regent Air Corporation: 4R"
"19731","Westates Airlines: WTA"
"19732","Action Airlines: AON"
"19733","California Seaboard: CAF"
"19734","Enterprise Airlines Inc.: ENT"
"19735","Island Air Express: IEX"
"19736","Maui Airlines: MAA"
"19737","Metro Express 11: MEX"
"19738","Otter Air: OTT"
"19739","Prime Air Inc.: PRM"
"19740","Sallee's Aviation: SAL"
"19741","Wrangell Air Service: WGL"
"19742","Atlantic Gulf Airlines: ZY"
"19743","Skyworld Airlines Inc.: PKQ"
"19744","Presidential Airways Inc.: XV"
"19745","Caribbean Air Cargo Co Ltd.: DC"
"19746","P.T. Garuda Indonesian Arwy: GA"
"19747","Egyptair: MS"
"19748","Bay Air: BYA"
"19749","Five Star Airlines: FFQ"
"19750","King Flying Service: KFS"
"19751","Le Point Air: LEQ"
"19752","Barrow Air: BRW"
"19753","Big Island Air: BIA"
"19754","Cityhop: CCA"
"19755","GP Express Airlines: GPA"
"19756","Iowa Airways: IOW"
"19757","Mountain West Airlines: MWA"
"19758","Resort Commuter: RSC"
"19759","Texas National Airlines: TXA"
"19760","Air Hawaii: AHC"
"19761","Aerotal: XK"
"19762","Air L.A.: ALS"
"19763","Aero Coach: AEO"
"19764","Air Link Airways: ALK"
"19765","Million Air: BFG"
"19766","Helitrans: HEL"
"19767","La Helicopter: LAH"
"19768","Omniflight Helicopters: OMH"
"19769","Reeves Air: RVA"
"19770","Compania Panamena (Copa): CM"
"19771","Zas Airline Of Egypt: ZAQ"
"19772","Polar International: POL"
"19773","Hemisphere Air Charter: XDC"
"19774","Airways International: AIT"
"19775","Chicago Airlines: CGA"
"19776","Royal West Airlines: YM"
"19777","Airpac Inc.: XYZ"
"19778","Aerovias Venezolanas-Avensa: VE"
"19779","Cathay Pacific Airways Ltd.: CX"
"19780","Galena Air Service: GAL"
"19781","Stateswest Airlines: STW"
"19782","Executive Transport: EXR"
"19783","Propheter Aviation: PRP"
"19784","Wise Airlines Inc.: WAI"
"19786","Haines Airways: HNS"
"19787","Great American Airways: FDQ"
"19788","Air Puerto Rico Airlines: FD"
"19789","Viacao Aerea Sao Paulo: VP"
"19790","Delta Air Lines Inc.: DL"
"19791","All Nippon Airways Co.: NH"
"19792","International Parcel Express Inc.: XDD"
"19793","Anglo Airlines Ltd.: AZQ"
"19794","Midcontinent Airlines: MDC"
"19795","Malaysian Airline System: MH"
"19796","Pilgrim Aviation & Airlines: PMT"
"19797","Florida Express Inc.: ZO"
"19798","Orion Air: OPQ"
"19799","Nationair: NAQ"
"19800","Air Cape: APE"
"19801","Lake Coastal: LCT"
"19802","Mst Aviation: MTV"
"19803","First Air: 7F"
"19804","Transportes Aereos De Cabo: VR"
"19805","American Airlines Inc.: AA"
"19806","Air Charter Systems (Acs): WAQ"
"19807","Helitac Aviation: HET"
"19808","Belize Air International Ltd.: BM"
"19809","Highland Express Airways: VY"
"19810","Mid Pacific Airlines Inc.: MPA"
"19811","Aero Tranportes Panamenos: ATQ"
"19812","Millon Air Inc.: LBQ"
"19813","Air Caribe International: ARB"
"19814","Air South (1): ASU"
"19815","Air South: ASH"
"19816","Bangor International Air: BAN"
"19817","Chester County Aviation: CCO"
"19818","East Coast Airways: ECR"
"19819","Hub Express: HEP"
"19820","Tropical Helicopter Airways: THA"
"19821","Turk Hava Yollari A.O.: TK"
"19822","Piedmont Aviation Inc.: PI"
"19823","Air Train Inc.: XDE"
"19824","Haiti Air Freight Intl: HFQ"
"19825","Ketchikan Air Service: KET"
"19826","Salair Inc.: XDF"
"19827","Npa Inc.: NAP"
"19828","Air America: GM"
"19829","Time Air Ltd.: KI"
"19830","Nippon Cargo Airlines: KZ"
"19831","Seagull Air Service: SEG"
"19832","Nasville Eagle: NAS"
"19833","Aleutian Air: ALU"
"19834","Custom Air Service: CUS"
"19835","GCS Air Service: GSC"
"19836","Golden State Airlines: GST"
"19837","Springdale Air: SPG"
"19838","Sportsman Flying Service: SPR"
"19839","Saeta Airlines: EH"
"19840","Aerolineas Mundo: MUQ"
"19841","Tropical Airways Inc.: GG (1)"
"19842","Grenada Airways Ltd.: GG (2)"
"19843","Mid Pacific Air Corp.: MPC"
"19844","Exec Express II: EET"
"19845","Taquan Air Service: TAQ"
"19846","Chartair: CTR"
"19847","Laredo Air: LAR"
"19848","Qwest Commuter: QWE"
"19849","Tri Air Freight: TAF"
"19850","Wra Inc.: WRA"
"19851","Zambia Airways Corp.: Q2"
"19852","Swissair Transport Co. Ltd.: SR"
"19853","Airlift International: ARD"
"19854","Pacair: PCR"
"19855","Bradley Air Services Ltd.: BCQ"
"19856","Corse Air International: CYQ"
"19857","Iraqi Airways: IA"
"19858","Monarch Airlines: ZB"
"19859","Vacationair: VAQ"
"19860","Lineas Aereas La-Tur Sa: LUQ"
"19861","Holidair Airways: HOQ"
"19862","Aerovias S.A.: AOQ"
"19863","Alas De Transporte International: APQ"
"19864","Transamerica Airlines Inc.: TV (1)"
"19865","Haiti Trans Air: TV"
"19866","Canadian Aviation Express: CWQ"
"19867","Japan Air System Co. Ltd.: JD"
"19868","Manhattan Express: MEA"
"19869","Britannia Airways Ltd.: BY"
"19870","Aero Freight: AEF"
"19871","Panama Aviation: PNM"
"19872","Welch Aviation: WLH"
"19873","Austrian Airlines: OS"
"19874","Air Transport International: 8C"
"19875","Aero California: JR"
"19876","Heritage Airlines: HRG"
"19877","Kitty Hawk Air Cargo: XDH"
"19878","Columbia Pacific Airlines (1): EXA"
"19879","Columbia Pacific Airlines: CLB"
"19880","Central States Air Lines: CSL"
"19881","Mohawk Airlines: MHK"
"19882","Skymaster: SYM"
"19883","Novair International Airways Ltd.: NVQ"
"19884","TPI International Airways: TSQ"
"19885","Universal Airlines Inc.: UTQ"
"19886","Aruba Cargo: IPQ"
"19887","Latcr: LCQ"
"19888","Transcarga: TDQ (1)"
"19889","Venexcargo: TDQ"
"19890","Aeroejecutivos C.A.: EJQ"
"19891","Aeropuma: PUQ"
"19892","Aeronautica De Cancun: ACQ"
"19893","Aerovias Colombianas Arca: ARQ"
"19894","Zuliana De Aviacion: ZUQ"
"19895","Interamericana De Aviacion: ITQ"
"19896","Fast Air Carrier Ltd.: UD"
"19897","Lineas Aereas Mayas (Lamsa): MYQ"
"19898","Emery Worldwide Airlines: TNQ"
"19899","Hong Kong Dragonair: KA"
"19900","Air Marshall Islands Inc.: CW"
"19901","Blue Bell Inc.: BUQ (1)"
"19902","Wrangler Aviation Inc.: BUQ"
"19903","Conquest Airline Corp.: CQI"
"19904","Air Southeast: ATH"
"19905","California Air Shuttle: CLF"
"19906","Northcoast Executive: NCE"
"19907","Scott Aviation: SCN"
"19908","Trans Air (Hawaii): TXE"
"19909","Air Belgium: BEQ"
"19910","Aerolineas Latinas: LNQ"
"19911","Air Aruba: FQ"
"19912","Cayman Airways Limited: KX"
"19913","Belize Trans Air: 4H"
"19914","Air Liberte: LRQ"
"19915","Sea Air Shuttle: SAH"
"19916","Primeras Lineas Uruguays For International: PU"
"19917","United Parcel Service: 5X"
"19918","Gulf Air Taxi: GAT"
"19919","Adirondack Airlines: ADR"
"19920","Corporate Air: CRP"
"19921","Drummond Island Air: DIA"
"19922","Gulf Flite Center: GFC"
"19923","Lapsa: LAP"
"19924","L'Express: LEX"
"19925","Travelair: TVL"
"19926","Valley Air Services: VAS"
"19927","Aerosur (1): ASQ"
"19928","Central American Airlines: GW"
"19929","Charter One: CHT"
"19930","Alaska Airlines Inc.: AS"
"19931","Regal Air: 2R"
"19932","Apa International Air S.A.: 7P"
"19933","Air New Zealand: NZ"
"19934","Das Air Cargo: SE (1)"
"19935","Star Aviation: SRA"
"19936","Territorial Airlines: TRR"
"19937","Loken Aviation: LKN"
"19938","Dawn Air: DWN"
"19939","Flying Boat: FYB"
"19940","Caraven S.A.: CVQ"
"19941","Trans Europ. Airways France: EFQ"
"19942","General Air Cargo: GCQ"
"19943","Allied Airlines: ALD"
"19944","Airvantage: AVG"
"19945","Chicago Air Taxi: CGO"
"19946","Great Western Aviation: GWA"
"19947","Paradise Island Airlines: PRD"
"19948","Redwing Airways: RDW"
"19949","Lauda Air Luftfahrt Ag: NG"
"19950","Flagship Express Services: 9R"
"19951","Braniff International Airlines Inc.: BE"
"19952","Carnival Air Lines Inc.: KW"
"19953","Transportes Aereos Mercantiles Panamericanos S.A: QT"
"19954","Japan Air Charter Co. Ltd.: JZ"
"19955","Affretair: ZL"
"19956","Servicios Avensa: VC"
"19957","Mcclain Airlines Inc.: MU (1)"
"19958","China Eastern Airlines: MU"
"19959","Dulles Express: DUL"
"19960","Skybus Express Airlines: SYB"
"19961","Air Transat: TS"
"19962","Hawaii Pacific Air: XAH"
"19963","World Air Network: WL"
"19964","Island Express: IPS"
"19965","Rocky Mountain Helicopters: RMH"
"19966","Sierra Nevada Airways: SNV"
"19967","Trans World Express: TWE"
"19968","Arizona Pacific Airways: AZP"
"19969","International Cargo Xpress: XPQ"
"19970","Northeast Express Regional (1): NER"
"19971","Northeast Express Regional: NEX"
"19972","Av Atlantic: HCQ"
"19973","Aerotour Dominicano Cxa: RTQ"
"19974","Aero Uruguay (1): ROQ"
"19975","Aero Uruguay: URQ"
"19976","Air North: 4N"
"19977","United Air Lines Inc.: UA"
"19978","Air Alpha: AHA"
"19979","Alliance Air: AIY"
"19980","Florida Air: FLA"
"19981","Patriot Airlines Inc.: PAQ"
"19982","USAir Shuttle: TB (1)"
"19983","Key Airlines Inc.: ZN"
"19984","Translift Airways Limited: FB"
"19985","Turks Air Ltd.: KTQ"
"19986","Turks Air Ltd. (1): BHQ"
"19987","Advantage Airlines: ADV"
"19988","Air West Airlines: AWA"
"19989","Keene Airways: KEA"
"19990","Sky One Express: SOE"
"19991","America West Airlines Inc.: HP (Merged with US Airways 9/05.Stopped reporting 10/07.)"
"19992","Hispaniola Airways: ZS"
"19993","Airmark Airlines Inc.: AKQ"
"19994","Reno Air Inc.: QQ"
"19995","Aces Airlines: VX (1)"
"19996","Nicaraguense De Aviacion Sa: 6Y"
"19997","Jet America Airlines Inc.: SI (1)"
"19998","Sierra Pacific Airlines: SI"
"19999","South Pacific Island Airway: SOP"
"20000","Time Air Sweden Ab: HK"
"20001","Tranps Aereos Guatemaltecos: TGQ"
"20002","Morris Air Corporation: KN"
"20003","Balkan Bulgarian Airlines: LZ"
"20004","Cal Air International Ltd.: BR (1)"
"20005","Eva Airways Corporation: BR"
"20006","Capitol Air Express Inc.: CPQ"
"20007","Atlas Air Inc.: 5Y"
"20008","Ram Aviation: RMV"
"20009","Eclipse Airlines: ECL"
"20010","Aero Transcolombiana: CLQ"
"20011","Air Casino: ASN"
"20012","Express Airlines II: EXP"
"20013","Rader Aviation: RDR"
"20014","Trans American Charter: ECQ"
"20015","Export Air Del Peru S.A.: EXQ"
"20016","Lineas Aereas Allegro: LGQ"
"20017","Continental Micronesia: CS"
"20018","J.D.Valenciana De Aviation: V5"
"20019","Private Jet Expeditions: 5J"
"20020","Eagle Airlines: V9"
"20021","Eagle Airlines (1): ECA"
"20022","Leisure International Airways Ltd.: LZQ"
"20023","Malev Hungarian Airlines: MA"
"20024","Serv. Aerolineas Mexicanas: SMQ"
"20025","Lineas Aereas Suramerican: LSQ"
"20026","Quassar De Mexico: OMQ"
"20027","Oasis International Airlines S.A.: OB"
"20028","Aerochago S.A.: G3 (1)"
"20029","Transp. Aereos Ejecutivos: GD"
"20030","Aerolineas Uruguayas S.A.: UYQ"
"20031","People Express Airlines Inc.: PE (1)"
"20032","Air Europe S.P.A.: PE"
"20033","UFS Inc.: U2"
"20034","Pacific International Airlines: PIQ"
"20035","Air Florida Express: AFE"
"20036","American Flight Group: AFG"
"20037","Aviation Sales: AVL"
"20038","Business Helicopters: BUH"
"20039","Four Star Aviation: FRS"
"20040","Sky-Jet: SKJ"
"20041","Salair: SLR"
"20042","Southern Air Transport Inc.: SAQ"
"20043","Air Ukraine: 6U"
"20044","Aeromonterrey S.A.: 7M"
"20045","Biman Bangladesh Airlines: BG"
"20046","Air Wisconsin Airlines Corp: ZW"
"20047","Caribair: CRB"
"20048","Gorda Aero Service: GRA"
"20049","Western Air Lines Inc.: WA (1)"
"20050","Worldwide Airlines Services: WA"
"20051","USAfrica Airways Inc.: E8"
"20052","Skyjet S.A.: SBQ"
"20053","Servicio Aereo Leo Lopez: 8L"
"20054","Gulf Air Transport Inc.: GF (1)"
"20055","Gulf Air Company: GF"
"20056","Antigua Paradise Airways: PDQ"
"20057","Evergreen International Inc.: EZ"
"20058","Air Pacific Ltd. (1): FJ (1)"
"20059","Air Pacific Ltd.: FJ"
"20060","Air South Inc. (1): WV (1)"
"20061","Air South Inc.: ASC"
"20062","Island Air Charters: ICH"
"20063","Pacificair: PFA"
"20064","Ghana Airways Corporation: GH"
"20065","Sky Service F.B.O.: SEQ"
"20066","Advance Air Charters: AAQ"
"20067","Mahalo Air: MHO"
"20068","Capitol Air: CPT"
"20069","Dolphin Express: DXA"
"20070","Grand Airways Inc.: QD"
"20071","Jetall Airways: 8J"
"20072","Scanair: SIQ (1)"
"20073","Premiair: SIQ"
"20074","Renown Aviation: REQ"
"20075","Aeromar C. Por A.: BQ"
"20076","Texas Airways: TXY"
"20077","Halisa Air: WD"
"20078","Western Pacific Airlines: W7"
"20079","Brasair Transportes Aereos: BTQ"
"20080","Uzbekistan Airways: HY"
"20081","Downeast Flying Service: DFS"
"20082","Pine State Airlines: PNS"
"20083","Sunshine Airlines: SUA"
"20084","Aspen Airways Inc.: APN"
"20085","Aeromexpress: QO"
"20086","Tristar Airlines Inc.: T3"
"20087","Sierra Expressway: SXP"
"20088","Tower Air Inc.: FF"
"20089","Serv De Trans Aereos Fuegui: FS"
"20090","Royal Air: QN"
"20091","Krasair: 7B"
"20092","Merlin Express: MLX"
"20093","Custom Air Transport: CTQ"
"20094","Jettrain Airlines: LF"
"20095","World Airways Inc.: WO"
"20096","Mexicargo: GJ (1)"
"20097","Prestige Airways: OI"
"20098","Eagle Jet Charter: EGJ"
"20099","Laker Airways Inc.: 6F"
"20100","Polar Air Cargo Airways: PO"
"20101","Southern Frontier Air Trans: SFQ (1)"
"20102","Pacific International Airlines Inc.: SFQ"
"20103","North East Cargo Airlines: NEQ"
"20104","Transaero Airlines: UN"
"20105","Ecuatoriana De Aviacion: EU"
"20106","Sunworld International Airlines: SM"
"20107","Federal Express Corporation: FX"
"20108","Northern Air Cargo Inc.: NC"
"20109","Blue Scandinavia Ab: TRQ"
"20110","Antonov Company: ADB"
"20111","DHL Aero Expresso: DHQ"
"20112","Maverick Airways: MAV"
"20113","Golden West Airlines Inc.: GDW"
"20114","Air Caribbean (1): XC"
"20115","Air Caribbean: AIC"
"20116","Canada 3000 Airlines Ltd.: 2T"
"20117","Sobelair: Q7 (1)"
"20118","Air Illinois Inc.: UX (1)"
"20119","Air Europa: UX"
"20120","Condor Flugdienst: DE"
"20121","Air Atlantic Dominicana: LU"
"20122","Mountain Air Express: MTX"
"20123","Aeroejecutivo S.A.: SX (1)"
"20124","City Bird: H2"
"20125","Panagra Airways: PNQ"
"20126","Laker Airways: GKQ"
"20127","Lb Limited: 7Z"
"20128","Flying Colours Airlines Ltd.: MT (1)"
"20129","Sky Trek International Airlines: 1I"
"20130","M & N Aviation: MNA"
"20131","Jim Air Inc.: JMA"
"20132","Cascade Airways Inc.: CZ (1)"
"20133","China Southern Airlines: CZ"
"20134","Jamaica Air Freighters: JAQ"
"20135","Nacnet: NET"
"20136","Magadan Airlines: H5"
"20137","Sunworld International Airways Inc.: JK (1)"
"20138","Spanair S.A.: JK"
"20139","Air Atlanta Inc.: CC (1)"
"20140","Air Atlanta Icelandic: CC"
"20141","Austin Express Inc.: AUX"
"20142","Flagship Airlines Inc.: 8N"
"20143","Kiwi International: KP"
"20144","Transportes Aereos Nacional: TX (1)"
"20145","Soc.Nouvelle Air Guadeloupe: TX"
"20146","Sun Pacific International: SPQ"
"20147","TransMeridian Airlines: T9"
"20148","Martinair Holland N.V.: MP"
"20149","Florida West Airlines Inc.: PRQ"
"20150","Harlequin Air Corporation: HQQ"
"20151","Amerijet International: M6"
"20152","Aviacsa Airlines: 6A"
"20153","Ethiopian Airlines: ET"
"20154","Airbus Transport Internat'l: BGQ"
"20155","Aeropostal Alas De Venezuel: VH"
"20156","ABSA-Aerolinhas Brasileiras: M3"
"20157","Swiss World Airways: SO"
"20158","Av Center Inc.: AVC"
"20159","Express Air d/b/a Sunrise: XPA"
"20160","Braniff Inc.: BN (1)"
"20161","Britannia Airways GmbH: BN"
"20162","Air Tahiti Nui: TN"
"20163","Translux Intl Airlines: LXQ"
"20164","Accessair Holdings: ZA"
"20165","Queen Air: 5G (1)"
"20166","Gulf And Caribbean Cargo: GFQ"
"20167","Transportes Aeros Meridiona: JJ"
"20168","Eastwind Airlines Inc.: W9"
"20169","Lynden Air Cargo Airlines: L2"
"20170","Mesaba Airlines: XJ"
"20171","American International Airways Inc.: NI (1)"
"20172","Lanica: NI"
"20173","Kitty Hawk International: CDQ"
"20174","Air Ketchum Idaho Inc.: AIK"
"20175","Luxair: LG"
"20176","National Airlines: N7"
"20177","Asia Pacific: PFQ"
"20178","Lorair Ltd.: LOQ"
"20179","TUIfly Nordic A.B.: 6B"
"20181","Trans International Express: TIE"
"20182","Lapa-Lineas Aereas Privadas: MJ"
"20183","Czech Airlines: OK"
"20184","Novair Airlines Ab: NOQ"
"20185","Jalways Co. Ltd.: JO"
"20186","Sterling Cargo: NB"
"20187","The Hawaii Express Inc.: LP (1)"
"20188","Lan Peru Airlines: LP"
"20189","Aero Continente: N6"
"20190","Southern Air Inc.: 9S"
"20191","Fine Airlines Inc.: FNQ"
"20192","Vanguard Airlines Inc.: NJ"
"20193","Gemini Air Cargo Airways: GR"
"20194","Arrow Air Inc.: JW"
"20195","Tradewinds Airlines: WI"
"20196","Air Malta: KM"
"20197","Casino Airlines (1): CSN"
"20198","Casino Airlines: CSA"
"20199","Farwest Airlines: FRW"
"20200","C.A.L Cargo Airlines: 5C"
"20201","Ameristar Air Cargo: AMQ"
"20202","Chicago Express Airlines: C8 (1)"
"20203","Falcon Air Express: FCQ"
"20204","Champion Air: MG"
"20205","Aeromaritime: OV"
"20206","Jazz Aviation LP: QK"
"20207","Casino Express: XP"
"20208","Taca Peru: TQQ"
"20209","Air Japan Co: NQ"
"20210","Privatair: PBQ"
"20211","Trans World Airways LLC: TW"
"20212","Sunair Express LLC: SUX"
"20213","Polyot Airlines: POQ"
"20214","Avia Leasing Company: AD"
"20215","Best Airlines Inc.: IW (1)"
"20216","Air Liberte Aka Aom Minerve: IW"
"20217","Air Excursions LLC (1): AEX"
"20218","Express One International Inc.: JKQ"
"20219","Village Aviation: VLA"
"20220","Air 21: A7 (1)"
"20221","Air Comet S.A.: A7"
"20222","Estafeta Carga Aereas: E7"
"20223","F.S. Air Service: FSA"
"20224","Katmai Air: KAT"
"20225","Peninsula Airways Inc.: KS"
"20226","Spernak Airways Inc.: SNK"
"20227","Vensecar International: V4"
"20228","Suncoast Airlines Inc.: WS (1)"
"20229","Westjet: WS"
"20230","Lineas Aereas Azteca: ZE"
"20231","Dutch Caribbean Airlines: K8 (1)"
"20232","Cielos De Peru: A2"
"20233","Swiss International Airlines: LX"
"20234","Edelweiss Air Ag: 8R"
"20235","Conner Air Lines Inc.: 4S (1)"
"20236","Sol Air (Aero Hunduras): 4S"
"20237","Trans States Airlines: AX"
"20238","Southern Wind Airlines: A4"
"20239","All Canada Express: CEQ"
"20240","Ccair: SNB"
"20241","Sunrise Airlines Inc.: ASW"
"20242","North Vancouver Air: NXQ"
"20243","Valujet Airlines Inc.: J7"
"20244","Potomac Air: POA"
"20245","Great Plains Airlines Inc.: TRI"
"20246","Atlantic Coast Jet Inc.: ACJ"
"20247","Rio Grande Air: EWA"
"20248","Wilburs Inc.: 8F"
"20249","Nevis Express: NVX"
"20250","Aerolitoral: 5D"
"20251","Westair Airlines Inc.: OE"
"20252","Pacific Island Aviation: 9J"
"20253","Cape Air: 9K"
"20254","Colgan Air: 9L"
"20255","Central Mountain Air: 9M"
"20256","Arizona Airways: ARZ"
"20257","Bemidji Airlines: CH"
"20258","Big Sky Airlines Inc.: GQ"
"20259","European Aviation Air Charter: E72"
"20260","Worldwide Airlines Inc.: WLQ"
"20261","Ellis Air Taxi Inc.: ELL"
"20262","Empire Airlines Inc. (1): UR"
"20263","Empire Airlines Inc.: EM"
"20264","Empire Airlines Inc. (2): EMP"
"20265","Freedom Airlines d/b/a HP Expr: F8"
"20266","G5 Executive Ag: GBQ"
"20267","Grand Canyon Helicopters: GCH"
"20268","Global Supply System: GSQ"
"20269","Allegheny Airlines: HRZ"
"20270","Helijet International Inc.: JB"
"20271","Winair Inc.: WNQ"
"20272","Kenmore Air Harbor: KAH"
"20273","New England Airlines Inc.: NEW"
"20274","Northwest Seaplanes: NWS"
"20275","Ozark Air Lines Inc. (1): OZ (1)"
"20276","Ozark Air Lines Inc.: OZA"
"20277","Asiana Airlines Inc.: OZ"
"20278","Mytravel Airways: RNQ"
"20279","Air-Serve: RSV"
"20280","Seaborne Aviation: SEB"
"20281","Mountain Bird/Salmon Air: S6 (1)"
"20282","Samoa Aviation Inc.: SMO"
"20283","Trans Continental Airlines: YB"
"20284","Express.Net Airlines: TCQ"
"20285","Ward Air: WRD"
"20286","Vintage Props & Jets Inc.: VQ"
"20287","Island Air Hawaii: WP"
"20288","Trans International Airlines Inc.: TFQ"
"20289","West Isle Air: WST"
"20290","Air St. Thomas: ZP"
"20291","Air Midwest Inc.: ZV"
"20292","Airbc Ltd.: ZX (1)"
"20293","Air Georgian: ZX"
"20294","Jetsgo: SG"
"20295","Midway Airlines Inc. (1): ML (1)"
"20296","Aero Costa Rica: ML"
"20297","Midway Airlines Inc.: JI (1)"
"20298","Jes Air Ltd.: JX (1)"
"20299","Southeast Airlines: JX"
"20300","Pacific Wings Airlines: LW"
"20301","Kar-Air Oy: KR (1)"
"20302","Kitty Hawk Aircargo: KR"
"20303","Nolinor Aviation: NLQ"
"20304","SkyWest Airlines Inc.: OO"
"20305","Pace Airlines: PCQ"
"20306","Challenge Air Transport Inc.: VV (1)"
"20307","Challenge Air International Inc.: VV (2)"
"20308","Centurion Cargo Inc.: WE"
"20309","Aerosvit Ukranian Airlines: VV"
"20310","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines: K8"
"20311","Jet Connection Businessflight Ag: JCQ"
"20312","ATA Airlines d/b/a ATA: TZ"
"20313","Cargojet Airways Ltd.: W8"
"20314","Midwest Airline, Inc.: YX (1)"
"20315","Bellair Inc. (1): 7G (1)"
"20316","Bellair Inc.: 5B"
"20317","MK Airlines Ltd.: 7G"
"20318","Olson Air Service: 4B (1)"
"20319","Smokey Bay Air Inc.: 2E"
"20320","Frontier Flying Service: 2F"
"20321","British Airtours Limited: 4E (1)"
"20322","Tanana Air Service: 4E"
"20323","Warbelow: 4W"
"20324","Yute Air Aka Flight Alaska: 4Y"
"20325","Arctic Circle Air Service: 5F"
"20326","Cape Smythe Air Service: 6C"
"20327","Era Aviation: 7H"
"20328","Inland Aviation Services: 7N"
"20329","Skystar International Inc.: 7S (1)"
"20330","Arctic Transportation: 7S"
"20331","Bering Air Inc.: 8E"
"20332","Baker Aviation Inc.: 8Q"
"20333","Wright Air Service: 8V"
"20334","Thomas Cook Airlines Uk Ltd.: MT"
"20335","Boston-Maine Airways: E9"
"20336","Hageland Aviation Service: H6"
"20337","Alaska Seaplane Service: J5"
"20338","Larrys Flying Service: J6"
"20339","L.A.B. Flying Service Inc.: JF"
"20340","SeaPort Airlines, Inc. d/b/a Wings of Alaska: K5"
"20341","Alaska Central Express: KO"
"20342","40-Mile Air: Q5"
"20343","Airlift International Inc.: RD (1)"
"20344","Ryan International Airlines: RD"
"20345","Regency Air: RGQ"
"20346","Iliamna Air Taxi: V8"
"20347","Pro Air Inc.: P9"
"20348","Lan Ecuador: XL"
"20349","Promech: Z3 (1)"
"20350","Lan Dominica: 4M (1)"
"20351","Primaris Airlines Inc.: FE"
"20352","Westward Airways Inc.: WAW"
"20353","Servant Air Inc.: 8D"
"20354","Aerodynamics Inc.: AJQ"
"20355","US Airways Inc.: US"
"20356","Skyway Airlines: AL"
"20357","Astar USA, LLC: ER"
"20358","Great Lakes Airlines: ZK"
"20359","Triair Bermuda Flt Operations: TBQ"
"20360","Sata Internacional: S4"
"20361","Valley Air Express Inc.: 2U"
"20362","China Cargo Airline: CK"
"20363","Endeavor Air Inc.: 9E"
"20364","Canjet Airlines: C6"
"20365","Aviation Concepts: CZQ"
"20366","ExpressJet Airlines Inc.: EV"
"20367","Freedom Air: FRA"
"20368","Allegiant Air: G4"
"20370","Kalitta Air LLC: KAQ"
"20371","Reliant Airlines: RLQ"
"20372","Kalitta Charters II: KLQ"
"20373","Propair: PPQ"
"20374","ExpressJet Airlines Inc. (1): XE"
"20375","First Choice Airways: TZQ"
"20376","Mn Aviation, Inc.: W4"
"20377","Omni Air Express: X9"
"20378","Mesa Airlines Inc.: YV"
"20379","Zantop International: ZKQ"
"20380","SkyLink Express Inc.: PEQ"
"20381","Air Atlanta Europe: EUQ"
"20382","Victory Air Transport Inc.: VCQ"
"20383","Venture Travel LLC d/b/a Taquan Air Service: K3"
"20384","Pan American World Airways (1): PA (1)"
"20385","Air Panama Internacional: OP (1)"
"20386","Pan American World Airways: PA (2)"
"20387","Pan American Airways Corp.: PN"
"20388","Flying Boat Inc.: OP"
"20389","Florida Coastal Airlines: PA"
"20390","Belair Airlines Ltd.: 4T"
"20391","Israir Airlines: 6H"
"20392","Emirates: EK"
"20393","Business Express: HQ (1)"
"20394","Harmony Airways: HQ"
"20395","Sociedad Aeronautica De Med: MM (1)"
"20396","Euro Atlantic Airways: MM"
"20397","PSA Airlines Inc.: 16"
"20398","Envoy Air: MQ"
"20399","Planet Airways: PLQ"
"20400","Capital Cargo International: PT"
"20401","Silver Airways: 3M"
"20402","Miami Air International: GL"
"20403","Discovery Airways Inc.: DH (1)"
"20404","Independence Air: DH"
"20405","National Air Cargo Group, Inc. d/b/a Murray Air: MRQ"
"20406","NetJets Large Aircraft Company L.L.C.: BNQ"
"20407","Regions Air, Inc.: 3C"
"20408","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo: 5V"
"20409","JetBlue Airways: B6"
"20410","Celtic Tech Jet Ltd.: CSQ"
"20411","Arizona Express: K7"
"20412","Nations Air Express Inc.: N5 (1)"
"20413","Skagway Air Service: N5"
"20414","Executive Airlines: OW"
"20415","North American Airlines: NA"
"20416","Spirit Air Lines: NK"
"20417","Comair Inc.: OH"
"20418","Chautauqua Airlines Inc.: RP"
"20419","Aerolineas Nicaraguenses: RL (1)"
"20420","UltrAir: RL"
"20421","Sky King Inc.: SLQ"
"20422","Sun Country Airlines d/b/a MN Airlines: SY"
"20423","USA 3000 Airlines: U5"
"20424","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines: YR"
"20425","Viscount Air Service Inc.: VIQ (1)"
"20426","Vieques Air Link Inc.: VI"
"20427","Piedmont Airlines: 17"
"20428","Volga-Dnepr Airlines: VIQ"
"20429","Aero Laguna S.A. De C.V.: AVQ"
"20430","Aerodan S.A. De C.V.: AYQ"
"20431","Aero Rentas De Coahuila S.A. De C.V.: BAQ"
"20432","Aerotaxis De Aguascalientes S.A. De C.V.: BDQ"
"20433","Servicios Aeronauticos Z S.A. De C.V.: BIQ"
"20434","Taxirey S.A. De C.V.: BJQ"
